INLINE MonsterEquipTable,ClassID,EquippedT1,ET2,ET3,ET4,ET5,DropTable1,DT2,DT3,DT4,DT5,EquippedTableChance,ET2Chance,ET3Chance,ET4Chance,ET5Chance,DropTable1Chance,DT2Chance,DT3Chance,DT4Chance,DT5Chance,ItemChanceTable1,ICT2,ICT3,ICT4,ICT5,DropChanceTable1,DCT2,DCT3,DCT4,DCT4,Terminator
Unused24,Unused24ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused25,Unused25ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused26,Unused26ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused27,Unused27ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused28,Unused28ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused29,Unused29ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused30,Unused30ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused31,Unused31ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused32,Unused32ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused33,Unused33ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused34,Unused34ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused35,Unused35ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Treeko,TreekoID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused36,Unused36ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused37,Unused37ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused38,Unused38ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused39,Unused39ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused40,Unused40ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused41,Unused41ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused42,Unused42ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused43,Unused43ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Crobat,CrobatID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused44,Unused44ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused45,Unused45ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused46,Unused46ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused47,Unused47ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused48,Unused48ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused49,Unused49ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused50,Unused50ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused51,Unused51ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused52,Unused52ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused53,Unused53ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused54,Unused54ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused55,Unused55ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused56,Unused56ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused57,Unused57ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused58,Unused58ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused59,Unused59ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused60,Unused60ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused61,Unused61ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused62,Unused62ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused63,Unused63ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused64,Unused64ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused65,Unused65ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused66,Unused66ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused67,Unused67ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused68,Unused68ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused69,Unused69ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused70,Unused70ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused71,Unused71ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused72,Unused72ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused73,Unused73ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused74,Unused74ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused75,Unused75ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused76,Unused76ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused77,Unused77ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused78,Unused78ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused79,Unused79ID,0x15,0x00,0x00,0x00,0x00,0x1F,0x00,0x00,0x00,0x00,0x64,0x00,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
Unused80,0xFF,0xFF,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xFE,0xFF,0x00,0x00,0x00,0x0A,0x5A,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
